text,aug_text,label
"i was gripped by a fear factor ,the night thing ",i'm entangled in the fear factor of the night.,2
"my neighbor's house is haunted, i have seen ghosts in there.",my neighbor's house is haunted. i've seen ghosts in there.,3
"i just watched the testimony of peter strzok before congress today. it was quite a show, to see his behaviors unraveling, almost as a sociopath or psychopath would do.","i just saw peter sterzock's testimony in front of congress today, and it's a pretty big show, seeing his behavior break down, almost like an antisocial or a psychopath would do.",0
i am terrified of heights ,i'm afraid of heights.,3
movies about vampires terrifies me a lot,the movie about vampires scares me very much.,2
i have a test tomorrow.,i'm going to do a test tomorrow.,0
the other day i was walking in the bushes alone and i was scared when i heard noise behind some bushes.,"i walked alone in the bush that day, and i heard some noise behind the bush, and i was scared.",2
i was terrified when i saw a snake,"when i saw a snake, i was scared.",3
"a couple weeks ago, i was up for selection for a promotion at my job. i have been preparing for the promotion for the past couple of months. the days leading up to the promotion board were very high strung and i was very anxious.","a few weeks ago, i was selected for a promotion, and i made a few months to prepare for a promotion, a few days before the promotion committee was very tense.",0
"i feel uncertain of  the consequences, climate change will bring, it could make the pace i live underwater some day.","i'm not sure about the consequences, and climate change will bring, and it can make the speed at which i'm living underwater one day.",1
i can remember my first day of high school. i was nervous and not sure if it was going to be okay.,"i remember my first day in high school, and i was nervous.",1
"the first day of my new job, i was very anxious. i felt like it was just a completely different world.","on the first day of my new job, i'm very anxious, and i think it's just a completely different world.",0
i felt scared when i had to go to the doctor to have a lump checked out on my side. i thought it was going to be for the worse.,"when i had to go to the doctor to examine the swelling around me, i was afraid, and i thought it would be worse.",2
i felt really terrified when i heard a loud scream coming from outside last night.,"last night when i heard a shout out there, i was scared.",3
 i had a dear friend end up the hospital after getting into a bicycling accident. it was a scary time.,i had a dear friend who died in the hospital after a bicycle accident.,2
"while i was alone at home, someone robbed me very late in the night","when i was alone, someone robbed me late in the night.",3
when i was a child i was in a tornado.,"when i was a kid, i was in a tornado.",2
i had a bad dream last night.,i had a bad dream last night.,3
i'm worried about my daughter starting middle school next week.,i'm worried about my daughter going to high school next week.,1
"the night my husband went to jail i was so scared. i didn't know what was going to happen to him or how i would get him out. i needed him to support out family. he had made mistakes, but was a good man otherwise.","i didn't know what he was gonna do, i didn't know how i could get him out, i needed him to feed my family.",3
i've been watching the new stephen king show. i don;t even like scary things,i've been watching the new step king show. i don't like it. i don't even like scary stuff.,3
my daughter is going to order a pizza. i am so hungry.,my daughter's getting pizza. i'm starving.,0
the kids are going bac to school next week. i can't wait!,the kids are going to school next week. i can't wait!,0
i had an exam to write that i was not well prepared for ,i have an exam that says i'm not ready.,0
while working at a restaurant i was robbed,i was robbed while i was working at a restaurant.,2
i was unsure how i was going to argue a case in front of my boss.,i don't know how to argue a case in front of my boss.,0
i was driving and it began to rain so hard that i could see nothing in front of me.,"when i was driving, it started to rain so much that i couldn't see anything in front of me.",3
i have been watch thing new stephen king series on hulu. it is frighteneing.,i've been watching the new line of kings on hulu.,2
i can't wait for school to start back. a litlle quieter in the house.,i can't wait for the school to start over.,0
my daughter is starting junior high. i am nervous and afraid for her.,my daughter's in junior high. i'm nervous and scared of her.,3
"one time i had to take a trip away from home for three weeks, it made me very nervous.","once i had to leave home for three weeks, it made me very nervous.",0
last night i saw a ghost in my bedroom.  it scared me to death!,i saw a ghost in the bedroom last night. it scared the hell out of me!,3
"i was trying to merge onto the freeway with my girlfriend and a semi was going way too fast and veered me towards the concrete border of the highway and i ran over a rock. the rock itself was pretty big and it hit my oil pan, the oil pan broke and started spilling oil everywhere. if i had not been calm i would have died","i tried to merge with my girlfriend on the freeway, walking too fast, pushing me to the concrete edge of the road, and i hit a rock. the rock itself was huge.",3
the other day i was getting my mail and my neighbors little grandson accidentally let the little devil chihuahua out! i dont think i have ever run so fast in my life! what an adrenaline rush. ,"i got my e-mail the other day, and my neighbor's grandson accidentally let the little devil's chihuahua out!",3
i feel very nervous during interviews,i was very nervous during the interview.,0
my son will have his 18 months shots soon,"my son, 18 months is coming.",0
"i went to the circus once, and the clowns were there. i am terrified of clowns.",i've been to the circus once. the clowns are there. i'm afraid of clowns.,2
i do not like the dark.,i don't like the dark.,2
i was deep in sleep last night and i heard this loud bang on the side of my house and woke right up wondering what was going on.,"last night i was asleep, and when i heard a sound from my house, i woke up wondering what was going on.",2
i was playing with my toddler and there was this huge spider on his play tent. this spider was seriously so big. i called my boyfriend and he told me to spray it with hairspray and use one of his shoes to smash it.,"i was playing with my kid, and he had a giant spider in his tent, and the spider was huge, and i called my boyfriend, and he asked me to spray it with a sprayer and smash it with his shoes.",3
i went to a haunted house.,i went to a haunted house.,2
my department just got shut down.,my department has just been shut down.,3
"earlier a guy cut me off on the road, he was driving a box truck and i saw my life flash before my eyes.","before this guy stopped me on the road, he was driving a box truck, and i saw my life glowing in front of my eyes.",2
i was home alone and someone was in the carport looking in a window,i'm home alone. someone's at the station looking at the window.,2
"i got a job offer but, i'm not sure if i should take it. ","i got a job, but, i'm not sure i should accept it.",1
i haven't heard from my girlfriend in 2 weeks. wonder what's going on?,i haven't heard from my girlfriend in two weeks.,0
coped pulled me over for going 90 in a 65 and i thought i was going to lose my license and maybe get arrested.,"when i was 65, when i was 90, i was pulled over, and i thought i'd lose my driver's license, and i could be arrested.",0
"when i was six years old, my mom let me watch it.","when i was six, my mother showed me.",3
i went to a haunted house and was scared of the ghosts.,"i went to the haunted house, scared of ghosts.",3
i saw a shark in the water last week.,i saw a shark in the water last week.,2
i had to wait in line for food at the mall but all the people sitting and eating made me nervous.,"i had to wait in line for the food at the mall, but all the people sitting and eating made me nervous.",0
"i went to the beach, i hate the water.","i went to the beach, and i hated the water.",3
i cant wait to hear if my house sells. i am so nervous ,i can't wait to hear if my house is selling. i'm so nervous.,0
i was driving through flood waters and my car stalled out.,i drove through the flood. my car stopped.,2
i was approached by a man that i did not know while walking in the park.,i was approached by someone i didn't know when i was walking in the park.,1
i went to a new school my sophomore year. i was just leary about the whole thing,i went to a new school when i was sophomore. i care about the whole thing.,1
i was hit by a tornado in the middle of the night and now i can't stand big storms.,"i was hit by a tornado in the middle of the night, and now i can't take a big storm.",0
"riding a big roller coaster for the first time while having a fear of heights, i was kind of worried how i would do ","the first time i was afraid of heights, i was riding a big overboard, and i was a little worried about what i'd do.",3
i was almost in a nasty car crash earlier,i almost hit a car before.,3
i am nervous about going to law school soon,i'll go to law school soon. i'm nervous.,1
i was not sure if i needed to accept this new job offer. i just did not know anyone there,i don't know if i need to take this new job offer. i just don't know anybody there.,1
i was so scared when my dad used to scare me as a kid,"when my dad scared me when i was a kid, i was scared.",3
i am afraid of who will move in next door to me.,i'm afraid someone will move in next door to me.,2
scared that my daughter will grow up and be bad ,i'm afraid my daughter will grow up and become bad.,2
ready for my house to sell ,i'm ready to sell my house.,0
my dog got into some grapes the other day when my toddler had hid them in a toy and the dog found them. i know grapes are not good for dogs! it made me so nervous!,"my dog ate some grapes, and one day my kid hid them in a toy, and the dog found them.",0
"i have to take a foreign language class for college, and i'm not sure how well i'll do",i had to take foreign language classes when i went to college. i didn't know how good i would be.,0
i saw a spider and i got scared.,i saw a spider. i was scared.,2
"i really don't want to drive on this long trip, a lot of things could go bad.","i really don't want to drive this long journey, and a lot of things get bad.",1
"i was anxious when i applied for grad schol, i did not know if i would get in","when i applied to the graduate school scholl, i was anxious. i didn't know if i could get in.",0
i was anxious when i applied for graduate school,i was anxious when i applied for college.,0
waiting to hear what the loan officer says on my home loan application,waiting to hear what the loan officer said on my loan application.,0
i was worried when i was deciding whether to put my schooling on hold,i was worried. i decided to suspend my studies.,1
to get hired at a new job ,get a new job.,0
one time when i was younger i saw a spooky face in my room. i never knew what it was after that night i am still kind of scared even today.,"once when i was a kid, i saw a scary face in the room, and i never knew what it was after that night.",2
i was worried when my dad was in the hospital. it just made me nervous,"when my dad was in the hospital, i was worried. it made me nervous.",0
 i was scared my first day of high school. i was not sure how it was going to go,i'm scared of my first day in high school. i don't know what's gonna happen.,1
i am on the fence about pursuing a promotion opportunity at my work.  i am nervous that i may not interview well.,i'm nervous i might not be good.,1
i heard a storm was coming and i got really scared!,i heard the storm was coming. i was really scared.,3
i was pretty scared when i wrecked my truck. i did not know if i was going to make it,"when i hit my car, i was scared. i didn't know if i'd make it.",3
i was scared when a tornado touched down close to my home. it was a sad feeling,"when the tornado approached my house, i was scared.",3
i was scared the first time walking on ice. i did not want to fall in,"the first time i walked on the ice, i was scared. i didn't want to fall in.",3
i was passenger in a bad car crash and the car rolled! i thought i was going to die!,"i was in a bad car accident with a passenger, and the car was rolling!",2
i was scared when they said a big storm was coming!,"when they said the storm was coming, i was scared!",3
i used to be terrified when i went to sleep. thought there was a monster under the bed.,i was scared when i fell asleep. i thought there was a monster under the bed.,3
there's been noise at my door every night at the same time. i check and there isn't anything.,there's noise at my door every night. i check. there's nothing.,2
my friend hasnt been feeling well lately.,my friend hasn't been feeling well lately.,2
i cant wait for school to start. i am so excited,i can't wait to start school. i'm so excited.,0
"yesterday, i was crossing the street and the person in front of me was hit by car which didn't stop at the red light","yesterday, i walked across the street, and the people in front were hit by a car that wasn't parked under a red light.",2
i have an important job interview and i am nervous about it.,i have a very important job interview. i'm nervous about it.,0
i live in a bad neighborhood and sometimes walking is dangerous- the other night when i was walking someone was following me,"i live in a bad neighborhood, sometimes it's dangerous to walk.",2
i was afraid the other night when gunshots went off,i was afraid the night the gunshots went off.,2
really don't want to start my new job in a week. it's at a fast food place and i don't know if i'll be able to keep up with demand.,"i can't start my new job in a week, in a fast food shop, and i don't know if i can keep up with the demands.",0
just heard a thump upstairs in a house i'm house sitting all alone at. really don't want to go check it out..,"i just heard a convulsion in the house upstairs, and my house was sitting alone, and i didn't want to see it...",3
i have anxiety so i get terrible panick attacks sometimes.,"i have anxiety, so i get terrible panic attacks sometimes.",3
there was some weird bumping noises in my house last night.,i had some weird vibrations at my house last night.,2
i am afraid of airplanes.,i'm afraid of planes.,3
i really do not like ants.,i really don't like ants.,3
i finally saw the movie with that scary japanese girl with white skin. i now believe i can't sleep without the lights on lol.,"i finally saw that movie with that scary japanese girl with white skin, and now i believe i can't sleep without lol's light.",2
i am going to look for a job as soon as school starts. im excited.,i'm excited to get a job as soon as school starts.,0
i almost got into an accident yesterday. it was terrifying.,i almost had an accident yesterday. it's scary.,3
i am so afraid of waterbugs. one crawled over my foot at my grandmother house over the weekend.,i'm too scared of waterworms to climb my grandma's feet for a weekend.,3
tomorrow i start my new job.,i'll start my new job tomorrow.,0
i was really scared once when i thought i would be homeless,i was scared once when i thought i'd be homeless.,2
i am so ready for the first monday night football game.,i'm ready for the first football game on monday night.,0
 i am always anxious. one example at stores sometimes. or maybe about making enough money.,"i'm always anxious, sometimes giving an example in a store, or making enough money.",0
i entered my name in a raffle at church. i cant wait to see who wins.,"i got into my name at the church for the draw, and i can't wait to see who wins.",0
i have a huge work presentation coming up friday and i am very nervous.,i've got a lot of work to do on friday. i'm nervous.,0
a new episode of stephen kings new show comes on tonight. it is scary,there's a new episode of king stephen tonight. a new show is about to begin. it's scary.,3
i used to be afraid of the dark. i had a nightlight until i was 13,i used to be afraid of the dark. i had a night light until i was 13.,2
i was afraid when my dad used to scare me and  my brothers,"when my dad used to scare me and my brothers, i was scared.",2
"wasn't able to register for one of the classes i need to be on track to graduate in my last year of college. have to contact the school and see if they'll be able to make an exception and squeeze me into a full class, or i don't know what i'll do.","in the last year of college, i couldn't sign up for one of the graduation courses i needed, and i needed to contact the school to see if they could make an exception and push me into a full class, or i didn't know what to do.",2
"back when i was in school, i studied really well for an important exam. but, still i was so much worried about my test test results.","when i was at school, i took an important exam, and i did it very well, but i'm still worried about my results.",0
afraid that my daughter will be bullied ,i'm afraid my daughter will be bullied.,2
"my friend's eyes keep hurting at night. she's been to the doctor, but they can't find anything wrong with her.","my friend's eyes were sore at night that she went to the doctor, but they couldn't find anything wrong with her.",2
i have a toothache. it has been getting worse for the past month. i don't want to go to the dentist though. i hate going.,i have a toothache. it's getting worse last month. i don't want to go to the dentist.,0
my boss wants me to babysit his daughter.,my boss asked me to take care of his daughter.,1
i have to meet new teachers for my kids today. i get scared doing that sometimes.,i'm meeting a new teacher for my children today. i'm afraid to do this sometimes.,3
i found a snake in the yard a few days ago.,i found a snake in the yard a few days ago.,0
i keep hearing things in my kitchen. i think the mouse is back.,i keep hearing voices in the kitchen. i think the rats are back.,2
"work has been slow lately, making me stressed.","work has been slow lately, putting me under a lot of pressure.",0
of getting older. getting sick! ,i'm getting old. i'm sick!,2
"i think it's funny how i got the lead role for ""the selfish giant"" in my elementary school play....i was the shyest kid in my class and was really nervous at first...but i nailed it twice and had parents and teachers crying when my character died, it was hilariously cool","i think it's funny how i played ""the selfish giant"" in the primary school game... and i was the shyest kid in class, and i was very nervous at first...",0
"i had to go to the doctor recently to get something checked out, i was definitely nervous about the outcome.",i've got to go to the doctor recently. i'm absolutely nervous about the results.,0
i would like to try skydiving.,i'd like to try a parachute jump.,2
i was so scared when my dad had a heart attack. i thought he was going to die,i was scared when my dad had a heart attack. i thought he was dying.,3
i found a snake in my boot. i was so afraid that it would bite me.,i found a snake in my boots. i was afraid it would bite me.,3
once when i was going to a hockey game with my brother and dad. my dad got mad at my brother and brake the side of the car window.,"i went to hockey with my brother and dad once, and my dad was mad at my brother, by the brake window.",3
i have big fear of dogs. i can't explain why,i'm afraid of dogs. i can't explain why.,3
i need a tooth pulled and i am scared to go to the dentist.  scared!@#!@,fear to go to the dentist! fear! @ @ @ @ @ @ @,3
i always get nervous when i drive. the possibility of getting into a car accident is nerve wrecking.,i'm always nervous when i'm driving.,0
"i think i saw someone die today, i was so frightened.",i think i saw someone die today. i'm scared.,3
i was lost in the woods one night outside my house. i hear some strange noises that were really scary sounding.,"one night, i got lost in the woods outside my house, and i heard some weird noises.",3
